Inspektions-ID,Videoname,Videozeitpunkt (h:min:sec),Meter ab Rohrbeginn,Schadenskürzel,Schadensbeschreibung,Rohrmaterial,Rohrprofil,Inspekteur-Name,Rohrhöhe (mm),Rohrbreite (mm),Kamera-Schwenkneigung (Grad),Kamera-Drehneigung (Grad),Videopfad,Videohash,Kmd-Pfad
132512,_1240D__.mpg,00:05:51,7.27,BABBA,,Steinzeug,,Michael Gurschler,450,450,,,\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Wangen\Wangen vom 07.09.-06.10.2015\Daten TV II\Sichtung\Projects\Stadt Wangen Innenstadt\Video\_1240D__.mpg,1886851581,
26675,21R2245I.MPG,00:05:39,5.23,BABBA,,Beton,Kreisprofil,Dorr/BeGü,200,200,,,\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\21R2245I.MPG,3988106135,\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\MESSDAT\Starnber\gRWneu\21R2245I.kmd
131075,F4RPZ_31210802.MPG,00:02:09,3.64,BABBA,,Beton,Kreisprofil,Dorr/Alker,1200,1200,,,"\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Kempten, Tiefbau\Kempten, Bleicher Bach vom 04.12.2015\Sichtversion DVD 001\F4RPZ_31210802.MPG",1334289757,
140588,F4UQU_28740808.MPG,02:49:22,18.9,BABBA,,Beton,Kreisförmig,Dorr/Alker,300,300,,,"\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Stadt Kirchheim Teck\2015\Kirchheim unter Teck, Kernstadt, Partielle Sanierung 2008 vom 24.03.-02.04.2015\Sichtversion DVD 001\F4UQU_28740808.MPG",916149122,
134169,F4M0V_30550401.MPG,00:02:25,7.29,BABBA,,Beton,Kreisprofil,Dorr/Rinke,800,800,,,"\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Diringer & Scheidel Rohrsanierung GmbH & Co. KG\Kaufbeuren 2015, vor Sanierung 14.07.-29.09.2015\Sichtversion 001\F4M0V_30550401.MPG",210735768,"\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Diringer & Scheidel Rohrsanierung GmbH & Co. KG\Kaufbeuren 2015, vor Sanierung 14.07.-29.09.2015\Sichtversion 001\MESSDAT\Stadt_KF\B\F4M0V_30550401.kmd"
34669,F4X67_4119030E.MPG,00:07:00,37.24,BABBA,,Beton,Kreisprofil,Dorr/BeGÜ,400,400,,,"\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Fa. Kutter GmbH & Co. KG\A95 Sindelsdorf, Richtung Garmisch vom 27.08.-03.09.2018\Sichtversion 001\F4X67_4119030E.MPG",2342989677,"\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Fa. Kutter GmbH & Co. KG\A95 Sindelsdorf, Richtung Garmisch vom 27.08.-03.09.2018\Sichtversion 001\MESSDAT\Kutter20\18\F4X67_4119030E.kmd"
103377,F419V332950601.MPG,00:44:04,49.1,BABBA,,Steinzeug,Kreisprofil,Dorr/Espig,600,600,,,"\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Stadt Wangen\Wangen im Allgäu, Bindstrasse vom 25.05.2016\Sichtversion DVD 001\F419V332950601.MPG",1646173102,"\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Stadt Wangen\Wangen im Allgäu, Bindstrasse vom 25.05.2016\Sichtversion DVD 001\MESSDAT\Wangen_A\llgäu\F419V332950601.kmd"
94282,F4RU0_3244080A.MPG,00:06:38,29.07,BABBA,,Beton,Kreisprofil,Dorr/Alker,1000,1000,,,\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Gemeinde Mittelbiberach\Mittelbiberach vom 07.03.-01.05.2016\Sichtversion 001\F4RU0_3244080A.MPG,3681543469,
26382,20R4725I.MPG,00:08:49,25.6,BABBB,,Beton,Kreisprofil,Dorr/Alker,500,500,,,\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\20R4725I.MPG,3682948925,
26245,20R0430G.MPG,00:15:04,13.3,BABBB,,Beton,Kreisprofil,Dorr/BeGü,300,300,,,\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\20R0430G.MPG,4084992254,\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\MESSDAT\Starnber\gRWneu\20R0430G.kmd
