Inspektions-ID;Videoname;Videozeitpunkt (h:min:sec);Meter ab Rohrbeginn;Schadenskürzel;Schadensbeschreibung;Rohrmaterial;Rohrprofil;Inspekteur-Name;Rohrhöhe (mm);Rohrbreite (mm);Kamera-Schwenkneigung (Grad);Kamera-Drehneigung (Grad);Videopfad;Videohash;Kmd-Pfad
26633;20R6460I.MPG;00:06:47;16.82;BAHB;;Beton;Kreisprofil;Dorr/BeGü;300;300;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\20R6460I.MPG;192621846;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\AV Starnberger See\Starnberg RW-Kanal\Starnberg RW-Kanal vom 09.11.2016.-14.12.2017\Sichtversion 001\MESSDAT\Starnber\gRWneu\20R6460I.kmd
51091;F418R239160607.MPG;00:22:39;69.12;BAHB;;Beton;Eiprofil (H/B=3/2);Dorr/Spaiu;1350;900;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Marktoberdorf\Marktoberdorf, diverse Strassen vom 29.01.-03.04.2018\Sichtversion 001\F418R239160607.MPG;3379137808;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Stadt Marktoberdorf\Marktoberdorf, diverse Strassen vom 29.01.-03.04.2018\Sichtversion 001\MESSDAT\MOD_Samm\ler\F418R239160607.kmd
89225;Z S5.02I05082014.MPG;00:10:14;18.62;BAHB;;Beton;Kreisprofil;Dorr/Alker;250;250;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 03-2014\TV-Untersuchung\Stadt Ravensburg\Ravensburg vom 04.08.-06.08.2014\Sichtversion DVD 001\Z S5.02I05082014.MPG;2075387857;
37730;6M0103_6M0103_6M0104_U_22112017_132628.mpg;00:01:23;2.36;BCACA;Sattelanschluss - Loch gemeißelt, offen;Beton;Kreisprofil;G. Rottmair;300;300;;;\\192.168.200.8\Datengrab\Dorr\11-17-12-18\Gemeinde Schemmerhofen\Schemmerberg, diverse Strassen vom 13.11.2017-03.05.2018\Sichtversion 001\6M0103_6M0103_6M0104_U_22112017_132628.mpg;1884879063;
87744;F210MN27040510.MPG;00:02:08;8.71;BCACA;Sattelanschluss - Loch gemeißelt, offen;Asbestzement;Kreisprofil;Dorr/Höhn;250;250;248.0;188.0;\\192.168.200.8\Datengrab\Dorr\Daten ab 03-2014\TV-Untersuchung\Gemeinde Baienfurt\Baienfurt vom 06.10.2014-17.10.2014\Sichtversion 001\F210MN27040510.MPG;2640507394;\\192.168.200.8\Datengrab\Dorr\Daten ab 03-2014\TV-Untersuchung\Gemeinde Baienfurt\Baienfurt vom 06.10.2014-17.10.2014\Sichtversion 001\MESSDAT\Baienfur\t\F210MN27040510.kmd
56112;S3484I.MPG;00:11:37;41.82;BCACA;Sattelanschluss - Loch gemeißelt, offen;Asbestzement;Kreisprofil;Dorr/Alker;250;250;;;\\192.168.200.8\Datengrab\Dorr\12-18-08-19\AV Bay. Bodenseegemeinden\Wasserburg vom 25.02.-21.03.2019\Sichtversion 001\S3484I.MPG;423007121;\\192.168.200.8\Datengrab\Dorr\12-18-08-19\AV Bay. Bodenseegemeinden\Wasserburg vom 25.02.-21.03.2019\Sichtversion 001\MESSDAT\Wasserbu\rg2019\S3484I.kmd
100491;AW 5.04G10112016.mpg;00:11:05;46.0;BCACA;Sattelanschluss - Loch gemeißelt, offen;Beton;Kreisprofil;Michael Gurschler;400;400;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 04-2016\TV-Untersuchung\Stadt Ravensburg\Ravensburg, Weststadt vom 22.09.-16.11.2016\digitale Filme\AW 5.04G10112016.mpg;2760803623;
130939;F2RWA_3056010A.MPG;00:04:20;15.43;BCACA;Sattelanschluss - Loch gemeißelt, offen;Stahlbeton;Kreisprofil;Dorr/Möhring;400;400;-94.0;320.0;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Filderstadt\Filderstadt vom 28.09.-27.10.2015\Sichtversion 001\F2RWA_3056010A.MPG;3219044012;\\192.168.200.8\Datengrab\Dorr\Daten ab 10-2ß15\TV-Untersuchung\Stadt Filderstadt\Filderstadt vom 28.09.-27.10.2015\Sichtversion 001\MESSDAT\Filderst\adt\F2RWA_3056010A.kmd
137951;F413LF3029030A.MPG;00:07:49;43.8;BCCYB;Krümmung der Leitung nach unten;Steinzeug;Kreisförmig;Dorr/BeGü;250;250;;;\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Stadt Altensteig\Altensteig vom 03.08.-17.09.2015\Sichtversion 001\F413LF3029030A.MPG;1802736649;\\192.168.200.8\Datengrab\Dorr\Daten ab 12-2014\TV-Untersuchung\Stadt Altensteig\Altensteig vom 03.08.-17.09.2015\Sichtversion 001\MESSDAT\Altenste\ig2015\F413LF3029030A.kmd
3750;F4R7G_45770F04.MPG;00:00:59;5.79;BCCYB;Krümmung der Leitung nach unten;Polyvinylchlorid;Kreisprofil;Dorr/Pane;150;150;18.0;0.0;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Fa. Max Boegl\Pürgen vom 08.07..-17.12.2019\Sichtversion\bin\F4R7G_45770F04.MPG;2922188194;\\192.168.200.8\Datengrab\Dorr\08-19-04-20\Fa. Max Boegl\Pürgen vom 08.07..-17.12.2019\Sichtversion\bin\MESSDAT\Pürgen20\19\F4R7G_45770F04.kmd
